表名,字段名,数据类型,示例值,说明,是否必填,关联表,业务规则
finished_product_outbound,deliveryStatus,VARCHAR(50),shipped,配送状态,是,,枚举:pending/shipped/delivered/returned
finished_product_outbound,notes,TEXT,冷链运输注意温控,备注,否,,用户输入
finished_product_outbound,createdAt,DATETIME,2024-12-02T08:00:00Z,创建时间,是,,自动填充
finished_product_outbound,updatedAt,DATETIME,2024-12-02T08:30:00Z,更新时间,是,,自动更新
production_summary,id,VARCHAR(50),sum_001,统计ID主键,是,,业务主键
production_summary,template_id,INT,1,关联模板ID,是,industry_templates.id,外键约束
production_summary,summaryDate,DATE,2024-12-01,统计日期,是,,按天统计
production_summary,totalBatches,INT,5,总批次数,是,,当日生产批次统计
production_summary,totalInputWeight,DECIMAL(10,3),2500.0,总投入重量,是,,原料投入总和
production_summary,totalOutputWeight,DECIMAL(10,3),2325.0,总产出重量,是,,成品产出总和
production_summary,averageYieldRate,DECIMAL(5,2),93.0,平均成品率,是,,加权平均计算
production_summary,totalCost,DECIMAL(12,2),7375.0,总成本,是,,成本汇总
production_summary,averageCostPerKg,DECIMAL(8,2),3.17,单位成本(元/kg),是,,总成本/总产出
production_summary,qualityPassRate,DECIMAL(5,2),100.0,质检合格率,是,,合格批次/总批次*100
production_summary,summary_data,JSON,"{""topProduct"":""精装牛排""}",汇总分析数据,否,,扩展统计信息
production_summary,createdAt,DATETIME,2024-12-02T00:00:00Z,创建时间,是,,日终自动生成
production_summary,updatedAt,DATETIME,2024-12-02T00:30:00Z,更新时间,是,,重新计算时更新
