user_input,intent_code
"登记签到",CLOCK_IN
"查一下看下原料批次",MATERIAL_BATCH_QUERY
"帮我签个到",CLOCK_IN
"帮我查一下出货量统计",SHIPMENT_STATS
"帮我查一下原料都有什么",MATERIAL_BATCH_QUERY
"帮我查一下目前在做的批次",PROCESSING_BATCH_LIST
"查一下原料信息",MATERIAL_BATCH_QUERY
"帮我查一下打个卡",CLOCK_IN
"帮我查一下我来签到",CLOCK_IN
"帮我查一下最近出货量",SHIPMENT_STATS
"帮我查一下出货量",SHIPMENT_STATS
"查一下发货汇总",SHIPMENT_STATS
"查一下当前批次有哪些",PROCESSING_BATCH_LIST
"查一下原料够不够",MATERIAL_BATCH_QUERY
"帮我查一下记录我的打卡",CLOCK_IN
"帮我查一下原料批次列表",MATERIAL_BATCH_QUERY
"查一下在产批次状态",PROCESSING_BATCH_LIST
"现在签到",CLOCK_IN
"帮我查一下原料信息",MATERIAL_BATCH_QUERY
"查一下下班打卡",CLOCK_IN
"查一下打一下卡",CLOCK_IN
"打卡登记",CLOCK_IN
"查一下有哪些原料",MATERIAL_BATCH_QUERY
"帮我查一下正在加工的批次",PROCESSING_BATCH_LIST
"查一下上班签到",CLOCK_IN
"今日在岗",ATTENDANCE_TODAY
"原料批次列表",MATERIAL_BATCH_QUERY
"今天谁没来",ATTENDANCE_TODAY
"帮我查一下今日考勤统计",ATTENDANCE_TODAY
"帮我查一下原料列表",MATERIAL_BATCH_QUERY
"帮我查一下看看在产批次",PROCESSING_BATCH_LIST
"目前在做的批次",PROCESSING_BATCH_LIST
"查一下今日出勤",ATTENDANCE_TODAY
"查一下帮我查原料",MATERIAL_BATCH_QUERY
"帮我查一下发货数据怎么样",SHIPMENT_STATS
"帮我查一下帮我查原料",MATERIAL_BATCH_QUERY
"打一下卡",CLOCK_IN
"查一下签到登记",CLOCK_IN
"原料还有多少",MATERIAL_BATCH_QUERY
"帮我查一下打一下卡",CLOCK_IN
"查一下目前在做的批次",PROCESSING_BATCH_LIST
"原料列表",MATERIAL_BATCH_QUERY
"查一下现在签到",CLOCK_IN
"帮我查一下上班签到",CLOCK_IN
"帮我查一下生产中的批次",PROCESSING_BATCH_LIST
"查一下今日出勤率",ATTENDANCE_TODAY
"查一下最近发货量",SHIPMENT_STATS
"帮我查一下显示在产批次",PROCESSING_BATCH_LIST
"帮我查一下今日在岗",ATTENDANCE_TODAY
"查一下出货统计",SHIPMENT_STATS
"今天有谁",ATTENDANCE_TODAY
"帮我查一下在产批次状态",PROCESSING_BATCH_LIST
"帮我查一下原料清单",MATERIAL_BATCH_QUERY
"帮我查一下现在签到",CLOCK_IN
"下班签到",CLOCK_IN
"查一下出货量对比",SHIPMENT_STATS
"原料有哪些",MATERIAL_BATCH_QUERY
"帮我查一下当前批次情况",PROCESSING_BATCH_LIST
"帮我查一下查询原料",MATERIAL_BATCH_QUERY
"正在生产的批次",PROCESSING_BATCH_LIST
"帮我查一下打卡登记",CLOCK_IN
"帮我查一下今天上班的人",ATTENDANCE_TODAY
"帮我查一下查询发货量",SHIPMENT_STATS
"今天缺勤的有谁",ATTENDANCE_TODAY
"今天考勤情况",ATTENDANCE_TODAY
"帮我查一下我要签到",CLOCK_IN
"出货量",SHIPMENT_STATS
"今天出勤了多少人",ATTENDANCE_TODAY
"查一下下班签到",CLOCK_IN
"帮我查一下打卡记录一下",CLOCK_IN
"出货量统计",SHIPMENT_STATS
"查一下发货情况统计",SHIPMENT_STATS
"帮我查一下签到登记",CLOCK_IN
"帮我查一下帮我查在产批次",PROCESSING_BATCH_LIST
"查一下帮忙打个卡",CLOCK_IN
"出货数据统计",SHIPMENT_STATS
"帮我查一下今天人员情况",ATTENDANCE_TODAY
"正在加工的批次",PROCESSING_BATCH_LIST
"帮我查一下发货量",SHIPMENT_STATS
"记录签到",CLOCK_IN
"帮我查一下原料还有多少",MATERIAL_BATCH_QUERY
"看看原料",MATERIAL_BATCH_QUERY
"帮我查一下看看原料",MATERIAL_BATCH_QUERY
"本月发货量",SHIPMENT_STATS
"今日出勤率",ATTENDANCE_TODAY
"帮我看看发货统计",SHIPMENT_STATS
"我要签到",CLOCK_IN
"仓库原料",MATERIAL_BATCH_QUERY
"帮我查一下出货量对比",SHIPMENT_STATS
"发货量对比",SHIPMENT_STATS
"原料情况",MATERIAL_BATCH_QUERY
"查一下帮我签个到",CLOCK_IN
"查一下打卡下班",CLOCK_IN
"查一下发货数据对比",SHIPMENT_STATS
"查一下原料列表",MATERIAL_BATCH_QUERY
"帮我查一下列出在产批次",PROCESSING_BATCH_LIST
"查一下签到打卡",CLOCK_IN
"查一下列出在产批次",PROCESSING_BATCH_LIST
"在产批次状态",PROCESSING_BATCH_LIST
"查一下查询发货量",SHIPMENT_STATS
"查一下发货总量",SHIPMENT_STATS
"今天考勤",ATTENDANCE_TODAY
"查看原料批次",MATERIAL_BATCH_QUERY
"查一下今天出勤情况",ATTENDANCE_TODAY
"查一下最近出货量",SHIPMENT_STATS
"查看在产批次",PROCESSING_BATCH_LIST
"列出在产批次",PROCESSING_BATCH_LIST
"查一下当前批次",PROCESSING_BATCH_LIST
"帮我查一下出货总量",SHIPMENT_STATS
"查一下打卡记录一下",CLOCK_IN
"查一下今天考勤",ATTENDANCE_TODAY
"帮我查一下正在生产的批次",PROCESSING_BATCH_LIST
"查一下我要签到",CLOCK_IN
"今天上班的人",ATTENDANCE_TODAY
"帮我查一下今天考勤",ATTENDANCE_TODAY
"帮我打卡",CLOCK_IN
"查一下原料批次",MATERIAL_BATCH_QUERY
"查一下今天人员情况",ATTENDANCE_TODAY
"生产线在跑什么批次",PROCESSING_BATCH_LIST
"帮我查一下发货总量",SHIPMENT_STATS
"查一下看看出货量",SHIPMENT_STATS
"今天谁上班",ATTENDANCE_TODAY
"帮我查一下我要打卡",CLOCK_IN
"在产批次列表",PROCESSING_BATCH_LIST
"看看在产批次",PROCESSING_BATCH_LIST
"出货统计",SHIPMENT_STATS
"查一下我来签到",CLOCK_IN
"今日考勤统计",ATTENDANCE_TODAY
"查一下在产批次列表",PROCESSING_BATCH_LIST
"帮我查一下帮忙打个卡",CLOCK_IN
"打个卡",CLOCK_IN
"查一下今天缺勤的有谁",ATTENDANCE_TODAY
"帮我查一下上周发货数据",SHIPMENT_STATS
"查一下上周发货数据",SHIPMENT_STATS
"帮我查一下签到",CLOCK_IN
"发货量",SHIPMENT_STATS
"帮我查一下记录签到",CLOCK_IN
"查一下原料库存查询",MATERIAL_BATCH_QUERY
"下班打卡",CLOCK_IN
"帮忙打个卡",CLOCK_IN
"麻烦看一下在产批次",PROCESSING_BATCH_LIST
"帮我查一下查看原料批次",MATERIAL_BATCH_QUERY
"原料清单",MATERIAL_BATCH_QUERY
"打卡下班",CLOCK_IN
"查一下出货量统计",SHIPMENT_STATS
"帮我查一下发货情况统计",SHIPMENT_STATS
"今日出勤",ATTENDANCE_TODAY
"发货数据怎么样",SHIPMENT_STATS
"帮我查一下看看出货量",SHIPMENT_STATS
"显示在产批次",PROCESSING_BATCH_LIST
"查一下登记签到",CLOCK_IN
"帮我查一下查一下原料",MATERIAL_BATCH_QUERY
"查一下记录我的打卡",CLOCK_IN
"查一下生产中的批次",PROCESSING_BATCH_LIST
"当前批次情况",PROCESSING_BATCH_LIST
"帮我查一下原料情况",MATERIAL_BATCH_QUERY
"帮我查一下仓库原料",MATERIAL_BATCH_QUERY
"看看出货量",SHIPMENT_STATS
"帮我查在产批次",PROCESSING_BATCH_LIST
"查一下正在生产的批次",PROCESSING_BATCH_LIST
"查一下仓库原料",MATERIAL_BATCH_QUERY
"查一下原料情况",MATERIAL_BATCH_QUERY
"帮我查原料",MATERIAL_BATCH_QUERY
"生产中的批次列表",PROCESSING_BATCH_LIST
"帮我查一下原料库存查询",MATERIAL_BATCH_QUERY
"查一下显示在产批次",PROCESSING_BATCH_LIST
"今日考勤",ATTENDANCE_TODAY
"帮我查一下有哪些原料",MATERIAL_BATCH_QUERY
"帮我查一下原料库存",MATERIAL_BATCH_QUERY
"生产中的批次",PROCESSING_BATCH_LIST
"帮我查一下帮我打卡",CLOCK_IN
"查一下今日在岗",ATTENDANCE_TODAY
"今天有多少人上班",ATTENDANCE_TODAY
"查一下今天有谁",ATTENDANCE_TODAY
"出货量对比",SHIPMENT_STATS
"查一下打卡登记",CLOCK_IN
"查一下查询原料",MATERIAL_BATCH_QUERY
"查一下查看原料批次",MATERIAL_BATCH_QUERY
"帮我查一下发货量对比",SHIPMENT_STATS
"原料库存",MATERIAL_BATCH_QUERY
"帮我查一下今天谁上班",ATTENDANCE_TODAY
"查一下今天谁没来",ATTENDANCE_TODAY
"今天谁来了",ATTENDANCE_TODAY
"帮我查一下原料够不够",MATERIAL_BATCH_QUERY
"能帮我查下当前批次吗",PROCESSING_BATCH_LIST
"查询原料",MATERIAL_BATCH_QUERY
"帮我查一下今天考勤情况",ATTENDANCE_TODAY
"查一下帮我查一下签到",CLOCK_IN
"签到一下",CLOCK_IN
"帮我查一下登记签到",CLOCK_IN
"查一下看看原料",MATERIAL_BATCH_QUERY
"发货统计",SHIPMENT_STATS
"查一下发货量",SHIPMENT_STATS
"原料批次",MATERIAL_BATCH_QUERY
"帮我查一下打卡下班",CLOCK_IN
"今天谁有空",ATTENDANCE_TODAY
"发货数据对比",SHIPMENT_STATS
"帮我查一下出货汇总",SHIPMENT_STATS
"上周发货数据",SHIPMENT_STATS
"现在生产的批次有哪些",PROCESSING_BATCH_LIST
"查询一下生产中的批次",PROCESSING_BATCH_LIST
"查一下查看在产批次",PROCESSING_BATCH_LIST
"出货总量",SHIPMENT_STATS
"查一下帮我打卡",CLOCK_IN
"查一下上班打卡",CLOCK_IN
"帮我查一下发货数据对比",SHIPMENT_STATS
"帮我查一下发货数据统计",SHIPMENT_STATS
"查一下今天迟到的有谁",ATTENDANCE_TODAY
"查一下今天谁上班",ATTENDANCE_TODAY
"帮我查一下今天在岗人员",ATTENDANCE_TODAY
"帮我查一下今日出勤率",ATTENDANCE_TODAY
"帮我查一下今天迟到的有谁",ATTENDANCE_TODAY
"原料够不够",MATERIAL_BATCH_QUERY
"查一下签到一下",CLOCK_IN
"帮我查一下发货统计",SHIPMENT_STATS
"出货汇总",SHIPMENT_STATS
"帮我查一下上班打卡",CLOCK_IN
"这周发货多少",SHIPMENT_STATS
"帮我查一下在产批次",PROCESSING_BATCH_LIST
"查一下今日考勤",ATTENDANCE_TODAY
"帮我查一下今日考勤",ATTENDANCE_TODAY
"最近发货量",SHIPMENT_STATS
"帮我查一下原料批次",MATERIAL_BATCH_QUERY
"帮我查一下出货数据统计",SHIPMENT_STATS
"今天人员情况",ATTENDANCE_TODAY
"查一下当前批次情况",PROCESSING_BATCH_LIST
"查一下在产批次",PROCESSING_BATCH_LIST
"最近出货量",SHIPMENT_STATS
"查一下原料库存",MATERIAL_BATCH_QUERY
"查一下我要打卡",CLOCK_IN
"发货汇总",SHIPMENT_STATS
"查一下今天在岗人员",ATTENDANCE_TODAY
"帮我查一下今日出勤",ATTENDANCE_TODAY
"查一下今天考勤情况",ATTENDANCE_TODAY
"查一下原料还有多少",MATERIAL_BATCH_QUERY
"发货总量",SHIPMENT_STATS
"帮我查一下出货统计",SHIPMENT_STATS
"帮我查一下今天谁有空",ATTENDANCE_TODAY
"查一下发货数据统计",SHIPMENT_STATS
"查一下原料有哪些",MATERIAL_BATCH_QUERY
"帮我查一下本月发货量",SHIPMENT_STATS
"记录我的打卡",CLOCK_IN
"发货情况统计",SHIPMENT_STATS
"当前批次有哪些",PROCESSING_BATCH_LIST
"查一下原料清单",MATERIAL_BATCH_QUERY
"查一下出货数据统计",SHIPMENT_STATS
"帮我查一下下班打卡",CLOCK_IN
"查一下原料都有什么",MATERIAL_BATCH_QUERY
"帮我查一下今天缺勤的有谁",ATTENDANCE_TODAY
"查一下本月发货量",SHIPMENT_STATS
"帮我查一下看下原料批次",MATERIAL_BATCH_QUERY
"帮我查一下查一下当前批次",PROCESSING_BATCH_LIST
"发货数据统计",SHIPMENT_STATS
"有哪些原料",MATERIAL_BATCH_QUERY
"查一下帮我查在产批次",PROCESSING_BATCH_LIST
"查一下正在加工的批次",PROCESSING_BATCH_LIST
